Population,Mutation_rate,Crossover_rate,tournament_size,Generation,Best_Accuracy,Average_Accuracy,Best_n_estimators,Best_max_depth,Avg_n_estimators,Avg_max_depth,Error_avg_accuracy
25,0.5,0.5,5,0,0.9435545385202135,0.9239359267734554,189,25,87.6,21.2,0.07606407322654463
25,0.5,0.5,5,1,0.9458428680396643,0.916979405034325,122,48,101.6,29.2,0.08302059496567504
25,0.5,0.5,5,2,0.9458428680396643,0.9250038138825325,122,48,125.0,32.92,0.0749961861174675
25,0.5,0.5,5,3,0.9458428680396643,0.9212509534706331,122,48,121.96,31.44,0.07874904652936687
25,0.5,0.5,5,4,0.9458428680396643,0.9314111365369946,122,36,120.52,34.8,0.06858886346300541
25,0.5,0.5,5,5,0.9466056445461479,0.9154538520213578,110,36,133.8,30.0,0.08454614797864224
25,0.5,0.5,5,6,0.9466056445461479,0.8827154843630817,110,36,116.76,24.2,0.11728451563691833
25,0.5,0.5,5,7,0.9466056445461479,0.920884820747521,110,36,124.76,27.48,0.07911517925247902
25,0.5,0.5,5,8,0.9466056445461479,0.9214340198321892,110,36,113.24,27.64,0.0785659801678108
25,0.5,0.5,5,9,0.9466056445461479,0.920274599542334,110,49,112.72,30.72,0.07972540045766596
25,0.5,0.5,5,10,0.9466056445461479,0.90697177726926,110,43,122.12,29.52,0.09302822273073996
25,0.5,0.5,5,11,0.9466056445461479,0.9067887109077039,110,49,118.16,31.28,0.09321128909229615
25,0.5,0.5,5,12,0.9466056445461479,0.9243630816170861,110,43,121.12,29.8,0.07563691838291386
25,0.5,0.5,5,13,0.9466056445461479,0.9357437070938215,110,37,117.4,32.48,0.06425629290617851
25,0.5,0.5,5,14,0.9466056445461479,0.9176201372997711,110,37,120.4,29.2,0.0823798627002289
25,0.5,0.5,5,15,0.9466056445461479,0.9409305873379098,110,37,119.32,33.2,0.059069412662090204
25,0.5,0.5,5,16,0.9466056445461479,0.9358962623951181,110,43,119.92,34.32,0.06410373760488186
25,0.5,0.5,5,17,0.9466056445461479,0.9134401220442411,110,45,117.32,30.0,0.08655987795575892
25,0.5,0.5,5,18,0.9458428680396643,0.9398627002288329,116,43,108.32,35.6,0.06013729977116711
25,0.5,0.5,5,19,0.9458428680396643,0.92649885583524,116,43,125.8,33.96,0.07350114416475995
25,0.5,0.5,5,20,0.9458428680396643,0.9182608695652174,116,42,121.0,33.6,0.08173913043478265
25,0.5,0.5,5,21,0.9458428680396643,0.9325095347063308,117,46,124.76,32.44,0.0674904652936692
25,0.5,0.5,5,22,0.9458428680396643,0.9291533180778033,112,31,128.52,30.08,0.07084668192219667
25,0.5,0.5,5,23,0.9458428680396643,0.9142639206712433,116,31,116.0,32.6,0.08573607932875671
25,0.5,0.5,5,24,0.9481311975591151,0.9072158657513348,107,31,111.92,32.32,0.09278413424866516
25,0.5,0.5,5,25,0.9481311975591151,0.9409000762776507,107,31,124.92,32.88,0.05909992372234929
25,0.5,0.5,5,26,0.9481311975591151,0.9238749046529366,107,31,118.88,31.32,0.07612509534706335
25,0.5,0.5,5,27,0.9481311975591151,0.9437070938215102,107,31,117.6,33.4,0.05629290617848981
25,0.5,0.5,5,28,0.9481311975591151,0.9220137299771167,107,31,112.96,28.28,0.07798627002288328
25,0.5,0.5,5,29,0.9481311975591151,0.9286346300533943,107,31,111.12,28.0,0.0713653699466057
