Epoch,Best_Accuracy,Average_Accuracy,Best_n_estimators,Best_max_depth,Avg_n_estimators,Avg_max_depth,Error
0,0.9458,0.9217,157,26,116.40,25.25,48.552002
1,0.9443,0.9301,157,26,119.85,25.45,44.231815
2,0.9458,0.9346,157,26,122.85,25.55,39.844461
3,0.9458,0.9388,157,26,125.60,25.95,35.989922
4,0.9458,0.9408,157,26,127.80,26.35,32.604653
5,0.9458,0.9416,157,26,130.05,27.65,29.831468
6,0.9451,0.9416,157,26,132.50,27.65,27.160369
7,0.9458,0.9425,157,26,134.10,27.65,25.063833
8,0.9458,0.9429,157,26,134.95,27.50,24.495514
9,0.9458,0.9432,157,26,137.35,27.45,22.424235
10,0.9458,0.9435,157,26,139.30,28.10,20.189636
11,0.9458,0.9440,157,26,140.40,28.40,18.627014
12,0.9458,0.9437,157,26,141.90,28.40,17.035612
13,0.9458,0.9436,157,26,143.15,28.20,15.942024
14,0.9466,0.9441,155,26,143.45,28.05,14.109914
15,0.9466,0.9441,155,26,143.75,28.20,13.761795
16,0.9466,0.9441,155,26,145.55,28.40,12.607392
17,0.9466,0.9445,155,26,144.60,27.80,13.403582
18,0.9466,0.9441,155,26,143.45,27.45,13.593986
19,0.9466,0.9447,155,26,144.45,27.55,11.909704
20,0.9466,0.9447,155,26,144.95,27.90,11.510791
21,0.9466,0.9445,155,26,145.75,27.75,10.607013
22,0.9466,0.9443,155,26,145.85,27.45,10.222813
23,0.9466,0.9445,155,26,145.55,27.15,10.156672
24,0.9466,0.9445,155,26,146.10,27.35,9.661629
25,0.9466,0.9446,155,26,147.30,27.55,8.850546
26,0.9466,0.9443,155,26,147.55,27.50,8.682699
27,0.9466,0.9444,155,26,147.45,27.65,8.891977
28,0.9466,0.9448,155,26,146.95,27.80,8.839287
29,0.9466,0.9447,155,26,146.40,27.80,9.125332
30,0.9466,0.9448,155,26,146.20,27.45,9.609998
31,0.9466,0.9447,155,26,146.00,27.15,9.519910
32,0.9466,0.9447,155,26,146.55,27.00,9.051398
33,0.9466,0.9448,155,26,146.90,27.45,9.090448
34,0.9466,0.9450,155,26,147.10,27.35,8.682218
35,0.9466,0.9450,155,26,147.40,27.35,8.214793
36,0.9466,0.9451,155,26,147.90,27.55,8.096231
37,0.9466,0.9449,155,26,147.60,27.40,7.980077
38,0.9466,0.9450,155,26,147.05,27.40,8.615558
39,0.9466,0.9448,155,26,147.20,27.40,8.364336
40,0.9466,0.9449,155,26,147.85,27.45,7.662198
41,0.9466,0.9449,155,26,148.20,27.40,7.221425
42,0.9466,0.9450,155,26,149.20,27.40,6.692308
43,0.9466,0.9452,155,26,149.20,27.50,6.577943
44,0.9466,0.9451,155,26,148.70,27.65,7.034711
45,0.9466,0.9451,155,26,148.05,27.80,7.846053
46,0.9466,0.9449,155,26,147.95,27.95,8.024207
47,0.9466,0.9450,155,26,148.65,27.55,7.263437
48,0.9466,0.9450,155,26,149.05,27.35,6.853672
49,0.9466,0.9447,155,26,148.20,27.45,7.445565
50,0.9466,0.9451,155,26,148.15,27.40,7.488071
51,0.9466,0.9451,155,26,148.30,27.15,7.298226
52,0.9466,0.9451,155,26,148.10,26.85,7.616485
53,0.9466,0.9450,155,26,148.50,27.20,7.191042
54,0.9466,0.9449,155,26,149.05,27.20,6.344611
55,0.9466,0.9450,155,26,149.20,27.55,6.528318
56,0.9466,0.9453,155,26,149.75,27.45,6.143669
57,0.9466,0.9450,155,26,149.10,27.30,6.767714
58,0.9466,0.9451,155,26,149.15,27.10,6.621616
59,0.9466,0.9452,155,26,149.75,27.30,5.720851
60,0.9466,0.9453,155,26,148.95,27.40,6.674989
61,0.9466,0.9452,155,26,148.35,27.30,7.385631
62,0.9466,0.9452,155,26,148.05,27.15,7.744695
63,0.9466,0.9453,155,26,147.90,27.25,7.925700
64,0.9466,0.9453,155,26,147.60,27.10,7.770981
65,0.9466,0.9452,155,26,148.40,27.20,7.275868
66,0.9466,0.9453,155,26,148.50,27.05,7.335096
67,0.9466,0.9453,155,26,149.10,27.10,6.468638
68,0.9466,0.9451,155,26,148.05,26.95,7.355711
69,0.9466,0.9453,155,26,148.40,27.30,7.105754
70,0.9466,0.9452,155,26,148.95,27.60,6.949169
71,0.9466,0.9453,155,26,149.10,27.30,6.958406
72,0.9466,0.9453,155,26,148.05,27.05,7.798077
73,0.9466,0.9450,155,26,147.80,26.95,7.904268
74,0.9466,0.9451,155,26,147.40,27.25,8.134841
75,0.9466,0.9451,155,26,147.65,27.35,7.827554
76,0.9466,0.9452,155,26,147.45,26.95,7.798733
77,0.9466,0.9450,155,26,147.70,26.80,7.578709
78,0.9466,0.9452,155,26,147.30,26.90,8.513385
79,0.9466,0.9453,155,26,147.15,27.10,8.538691
80,0.9466,0.9453,155,26,148.60,27.40,7.446484
81,0.9466,0.9451,155,26,148.70,27.45,7.116548
82,0.9466,0.9450,155,26,148.00,27.10,7.417230
83,0.9466,0.9453,155,26,148.05,27.20,7.832806
84,0.9466,0.9451,155,26,148.30,27.25,7.193612
85,0.9466,0.9454,155,26,147.95,27.20,7.629640
86,0.9466,0.9452,155,26,147.75,27.20,7.531088
87,0.9466,0.9452,155,26,147.85,27.05,7.332732
88,0.9466,0.9450,155,26,148.25,27.25,7.308833
89,0.9466,0.9452,155,26,148.80,27.20,7.213462
90,0.9466,0.9450,155,26,148.70,27.30,6.880901
91,0.9466,0.9453,155,26,148.10,27.20,7.174290
92,0.9466,0.9453,155,26,148.70,27.35,6.901433
93,0.9466,0.9455,155,26,149.50,27.25,6.317470
94,0.9466,0.9453,155,26,148.50,27.30,7.285449
95,0.9466,0.9450,155,26,149.40,27.30,6.498246
96,0.9466,0.9453,155,26,149.20,27.15,6.380546
97,0.9466,0.9452,155,26,148.90,27.00,6.359766
98,0.9466,0.9451,155,26,148.60,26.90,7.042856
99,0.9466,0.9450,155,26,148.75,26.95,7.176908
