Epoch,Best_Accuracy,Average_Accuracy,Best_n_estimators,Best_max_depth,Avg_n_estimators,Avg_max_depth,Error
0,0.9458,0.9217,157,26,116.40,25.25,48.552002
1,0.9443,0.9306,157,26,119.90,25.55,44.265864
2,0.9458,0.9346,157,26,122.75,25.60,39.968441
3,0.9451,0.9384,157,26,125.50,25.85,36.169934
4,0.9458,0.9408,157,26,127.55,26.55,32.943813
5,0.9466,0.9415,155,26,129.45,28.40,29.510229
6,0.9451,0.9418,155,26,131.85,28.90,26.970897
7,0.9466,0.9428,155,26,132.80,28.65,25.265902
8,0.9466,0.9425,155,26,132.85,27.40,25.484725
9,0.9458,0.9428,155,26,134.65,27.55,24.144429
10,0.9458,0.9428,155,26,135.85,29.05,22.521512
11,0.9458,0.9432,155,26,136.90,29.55,21.216425
12,0.9466,0.9429,155,26,138.20,28.90,19.979934
13,0.9466,0.9433,155,26,139.90,28.30,18.536000
14,0.9466,0.9431,155,26,140.95,28.20,17.560588
15,0.9466,0.9435,155,26,141.35,29.45,18.477631
16,0.9466,0.9434,155,26,142.70,30.05,17.943626
17,0.9466,0.9436,155,26,141.30,29.05,17.714167
18,0.9466,0.9439,155,26,139.90,28.60,18.147205
19,0.9466,0.9441,155,26,140.60,28.80,16.983973
20,0.9466,0.9440,155,26,141.50,29.20,16.733800
21,0.9466,0.9434,155,26,142.55,29.60,16.584241
22,0.9466,0.9440,155,26,142.05,29.20,16.387614
23,0.9466,0.9440,155,26,141.85,28.30,16.298169
24,0.9466,0.9439,155,26,142.40,28.50,15.534114
25,0.9466,0.9442,155,26,143.20,28.75,15.049708
26,0.9466,0.9441,155,26,144.30,29.15,14.593259
27,0.9466,0.9441,155,26,143.50,29.10,15.014412
28,0.9466,0.9441,155,26,142.30,29.15,15.407513
29,0.9466,0.9442,155,26,141.95,29.10,15.077457
30,0.9466,0.9442,155,26,142.40,29.35,15.462182
31,0.9466,0.9444,155,26,142.20,29.15,15.231063
32,0.9466,0.9445,155,26,142.20,28.65,15.564260
33,0.9466,0.9441,155,26,143.00,29.10,15.010089
34,0.9466,0.9445,155,26,143.60,29.25,14.185607
35,0.9466,0.9441,155,26,143.85,29.70,14.442455
36,0.9466,0.9446,155,26,144.00,29.70,14.376507
37,0.9466,0.9446,155,26,143.95,29.05,13.826539
38,0.9466,0.9448,155,26,143.75,28.60,13.424668
39,0.9466,0.9443,155,26,143.90,28.95,13.039563
40,0.9466,0.9443,155,26,144.00,29.15,12.831940
41,0.9466,0.9446,155,26,144.75,29.45,12.254703
42,0.9466,0.9445,155,26,146.00,29.15,11.238071
43,0.9466,0.9444,155,26,145.50,29.20,12.056860
44,0.9466,0.9444,155,26,144.55,29.60,13.462106
45,0.9466,0.9445,155,26,143.80,29.90,14.866306
46,0.9466,0.9446,155,26,143.90,30.05,14.980547
47,0.9466,0.9445,155,26,144.85,29.10,13.236548
48,0.9466,0.9445,155,26,145.10,28.25,12.316531
49,0.9466,0.9447,155,26,144.20,28.50,13.120510
50,0.9466,0.9450,155,26,144.25,28.65,13.088934
51,0.9466,0.9444,155,26,144.85,28.80,12.767672
52,0.9466,0.9443,155,26,145.10,28.70,12.886363
53,0.9466,0.9447,155,26,145.30,28.90,12.479085
54,0.9466,0.9445,155,26,145.15,29.20,12.515910
55,0.9466,0.9448,155,26,145.35,29.55,12.522064
56,0.9466,0.9444,155,26,146.25,29.55,12.097020
57,0.9466,0.9444,155,26,145.35,29.15,13.146207
58,0.9466,0.9445,155,26,144.60,28.10,13.012954
59,0.9466,0.9446,155,26,145.15,28.15,11.626961
60,0.9466,0.9445,155,26,144.95,29.10,12.778514
61,0.9466,0.9444,155,26,144.90,29.10,12.736686
62,0.9466,0.9444,155,26,144.90,28.50,12.725773
63,0.9466,0.9447,155,26,145.60,28.45,12.589056
64,0.9466,0.9446,155,26,145.40,28.05,12.398247
65,0.9466,0.9448,155,26,145.75,28.30,11.852319
66,0.9466,0.9447,155,26,145.10,28.05,12.654522
67,0.9466,0.9445,155,26,145.25,27.90,12.036018
68,0.9466,0.9447,155,26,144.15,27.85,12.690763
69,0.9466,0.9450,155,26,144.45,28.40,12.783235
70,0.9466,0.9446,155,26,144.80,29.40,12.832319
71,0.9466,0.9445,155,26,145.40,29.00,12.898776
72,0.9466,0.9451,155,26,144.65,28.40,13.545023
73,0.9466,0.9449,155,26,144.30,28.00,13.855194
74,0.9466,0.9451,155,26,144.50,27.95,13.172645
75,0.9466,0.9447,155,26,144.30,28.40,12.956673
76,0.9466,0.9449,155,26,143.45,28.15,13.046571
77,0.9466,0.9446,155,26,143.90,27.80,12.549919
78,0.9466,0.9449,155,26,143.70,27.65,13.312248
79,0.9466,0.9450,155,26,143.45,28.15,13.871776
80,0.9466,0.9451,155,26,145.10,28.70,13.033410
81,0.9466,0.9447,155,26,145.20,28.85,12.309207
82,0.9466,0.9449,155,26,144.45,28.05,12.285087
83,0.9466,0.9447,155,26,144.40,28.40,13.048028
84,0.9466,0.9449,155,26,144.80,28.50,12.384946
85,0.9466,0.9449,155,26,144.55,28.35,12.848060
86,0.9466,0.9449,155,26,143.65,28.50,13.360623
87,0.9466,0.9452,155,26,143.80,28.45,12.774955
88,0.9466,0.9451,155,26,144.35,28.55,12.363718
89,0.9466,0.9449,155,26,144.70,28.60,12.419475
90,0.9466,0.9449,155,26,145.25,28.45,12.192120
91,0.9466,0.9447,155,26,144.85,28.35,11.905094
92,0.9466,0.9449,155,26,145.30,28.40,11.320495
93,0.9466,0.9448,155,26,145.90,28.35,11.156722
94,0.9466,0.9447,155,26,145.45,28.50,12.187116
95,0.9466,0.9449,155,26,146.50,28.70,11.931640
96,0.9466,0.9450,155,26,146.25,28.35,11.255518
97,0.9466,0.9450,155,26,145.90,28.15,11.051562
98,0.9466,0.9449,155,26,145.15,28.00,11.580623
99,0.9466,0.9449,155,26,145.80,27.80,11.294877
