Epoch,Best_Accuracy,Average_Accuracy,Best_n_estimators,Best_max_depth,Avg_n_estimators,Avg_max_depth,Error
0,0.9451,0.9273,76,41,114.97,27.05,50.632751
1,0.9443,0.9365,76,41,113.62,28.57,46.502411
2,0.9451,0.9395,76,41,111.25,30.05,41.823587
3,0.9451,0.9409,76,41,108.90,31.50,37.529778
4,0.9451,0.9423,76,41,106.97,33.50,34.081472
5,0.9451,0.9434,76,41,104.90,35.25,30.851486
6,0.9451,0.9435,76,41,102.35,36.30,28.088839
7,0.9451,0.9430,76,41,99.67,36.70,25.882360
8,0.9451,0.9433,76,41,98.20,37.35,23.903571
9,0.9451,0.9434,76,41,96.50,37.83,21.958545
10,0.9451,0.9435,76,41,94.50,38.10,20.028712
11,0.9451,0.9438,76,41,93.55,38.45,18.758183
12,0.9451,0.9435,76,41,92.42,38.60,18.158730
13,0.9451,0.9435,76,41,91.12,38.38,17.014931
14,0.9451,0.9436,76,41,91.17,38.40,16.453513
15,0.9451,0.9438,76,41,91.05,38.77,16.119070
16,0.9451,0.9439,76,41,90.17,38.83,15.471744
17,0.9451,0.9438,76,41,89.00,38.92,14.188358
18,0.9451,0.9436,76,41,88.67,39.52,14.306269
19,0.9451,0.9436,76,41,88.42,39.33,13.713838
20,0.9451,0.9441,76,41,88.20,39.00,13.226993
21,0.9451,0.9440,76,41,87.72,38.75,12.792366
22,0.9451,0.9438,76,41,87.25,38.77,12.692001
23,0.9451,0.9437,76,41,86.67,39.10,12.129903
24,0.9451,0.9438,76,41,87.42,39.40,12.497250
25,0.9451,0.9439,76,41,87.80,39.65,12.573885
26,0.9451,0.9437,76,41,87.22,39.20,12.296340
27,0.9451,0.9438,76,41,87.08,38.92,12.288038
28,0.9451,0.9438,76,41,87.53,38.95,12.793247
29,0.9451,0.9437,76,41,86.97,39.02,12.312560
30,0.9451,0.9439,76,41,86.42,39.25,11.622181
31,0.9451,0.9439,76,41,86.78,39.35,12.175886
32,0.9451,0.9438,76,41,87.10,39.23,12.623070
33,0.9451,0.9437,76,41,86.92,39.23,12.191343
34,0.9451,0.9437,76,41,86.25,39.33,11.532200
35,0.9451,0.9440,76,41,86.05,39.33,11.013808
36,0.9451,0.9440,76,41,86.85,39.27,11.951310
37,0.9451,0.9440,76,41,86.75,39.15,11.700396
38,0.9451,0.9436,76,41,86.33,39.42,11.347579
39,0.9451,0.9437,76,41,85.78,39.42,10.834855
40,0.9451,0.9441,76,41,85.28,39.45,10.206633
